20884224	20899583	黑龙江省哈尔滨市联通
20899584	20899839	黑龙江省哈尔滨市双城市联通
20899840	20905983	黑龙江省哈尔滨市联通
20905984	20909055	黑龙江省鸡西市联通
20909056	20909311	黑龙江省鸡西市虎林市联通
20909312	20914175	黑龙江省鸡西市联通
20914176	20922879	黑龙江省联通
20922880	20923135	黑龙江省大兴安岭地区联通
20923136	20930559	黑龙江省联通
20930560	20938751	黑龙江省大庆市联通
20938752	20950271	黑龙江省绥化市联通
20950272	20950527	黑龙江省绥化市海伦市联通
20950528	20955135	黑龙江省绥化市联通
20955136	20971519	黑龙江省伊春市联通
20971520	21102591	香港电讯盈科有限公司
21102592	21233663	日本
21233664	21495807	山西省电信
21495808	22020095	日本
22020096	22085631	陕西省西安市电信
22085632	22118399	陕西省渭南市电信
22118400	22151167	陕西省汉中市电信
22151168	22159359	陕西省商洛市电信
22159360	22161919	陕西省西安市电信
22161920	22164735	陕西省安康市电信
22164736	22168831	陕西省西安市电信
22168832	22180351	陕西省榆林市电信
22180352	22183935	陕西省西安市电信
22183936	22200319	陕西省宝鸡市电信
22200320	22216766	陕西省西安市电信
22216767	22216767	陕西省西安市青田文化艺术传播有限公司
22216768	22254277	陕西省西安市电信
22254278	22254278	陕西省西安市雁塔区西安外国语大学
22254279	22307386	陕西省西安市电信
22307387	22307387	陕西省西安市莲湖区倩倩网络
22307388	22307532	陕西省西安市电信
22307533	22307533	陕西省西安市莲湖区倩倩网络
22307534	22347821	陕西省西安市电信
22347822	22347822	陕西省西安市临潼区海岸网络
22347823	22352263	陕西省西安市电信
22352264	22352274	陕西省西安市西北大学
22352275	22357473	陕西省西安市电信
22357474	22357474	陕西省西安市BOBO网尚
22357475	22357781	陕西省西安市电信
22357782	22357782	陕西省西安市大世界网吧(徐家庄)
22357783	22360421	陕西省西安市电信
22360422	22360422	陕西省西安市雁塔区逐峰电竞
22360423	22396403	陕西省西安市电信
22396404	22396404	陕西省西安市雁塔区鱼化寨和合轩网吧
22396405	22462719	陕西省西安市电信
22462720	22465535	陕西省渭南市电信
